,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Total_Spent_Per_District,Percent_Spent,STATEFP20
141,CO,4,Ike McCorkle,D,False,0,36.1,369871.0,217398.0,756791.0,28.72629299238495,08
142,CO,5,Doug Lamborn,R,True,1,57.6,540712.0,329011.0,504559.0,65.20763676794982,08
143,CO,5,Jillian Freeland,D,False,0,37.4,185255.0,175548.0,504559.0,34.792363232050164,08
144,CO,6,Jason Crow,D,True,1,57.1,4136137.0,2892443.0,4090487.0,70.71145807332965,08
145,CO,6,Steven House,R,False,0,40.0,1200056.0,1198044.0,4090487.0,29.288541926670348,08
146,CO,7,Ed Perlmutter,D,True,1,59.1,1632262.0,1339482.0,1487354.0,90.0580493951003,08
147,CO,7,Casper Stockham,R,False,0,37.6,147872.0,147872.0,1487354.0,9.941950604899707,08
148,CT,1,John Larson,D,True,1,63.7,1377238.0,1323690.0,1348808.0,98.13776312121517,09
149,CT,1,Mary Fay,R,False,0,35.0,26836.0,25118.0,1348808.0,1.8622368787848236,09
150,CT,2,Joe Courtney,D,True,1,59.4,964731.0,999360.0,1078127.0,92.69408891531332,09
151,CT,2,Justin Anderson,R,False,0,38.2,80227.0,78767.0,1078127.0,7.3059110846866835,09
152,CT,3,Rosa DeLauro,D,True,1,58.7,1938999.0,1795635.0,3631020.0,49.4526331444057,09
153,CT,3,Margaret Streicker,R,False,0,39.8,1839080.0,1835385.0,3631020.0,50.5473668555943,09
154,CT,4,Jim Himes,D,True,1,62.3,1612935.0,2180029.0,2197414.0,99.20884275789633,09
155,CT,4,Jonathan Riddle,R,False,0,36.2,31591.0,17385.0,2197414.0,0.7911572421036729,09
156,CT,5,Jahana Hayes,D,True,1,55.1,2037826.0,1564685.0,1962055.0,79.74725479153236,09
157,CT,5,David Sullivan,R,False,0,43.5,397395.0,397370.0,1962055.0,20.25274520846765,09
158,DE,1,Lisa Blunt Rochester,D,True,1,57.6,2024201.0,1305618.0,1442583.0,90.50557229636007,10
159,DE,1,Lee Murphy,R,False,0,40.2,131394.0,131862.0,1442583.0,9.140687225622374,10
160,DE,1,Catherine Purcell,I,False,0,1.4,5344.0,5103.0,1442583.0,0.353740478017556,10
161,FL,1,Matt Gaetz,R,True,1,64.6,5946646.0,4482782.0,6390303.0,70.14975659213655,12
